CSR,User,Supervisor,Machine
fflags,Conditional,Conditional,Conditional
frm,Conditional,Conditional,Conditional
fcsr,Conditional,Conditional,Conditional
hpmcounter3,Conditional,Conditional,Allowed
hpmcounter4,Conditional,Conditional,Allowed
hpmcounter5,Conditional,Conditional,Allowed
hpmcounter6,Conditional,Conditional,Allowed
hpmcounter7,Conditional,Conditional,Allowed
hpmcounter8,Conditional,Conditional,Allowed
hpmcounter9,Conditional,Conditional,Allowed
hpmcounter10,Conditional,Conditional,Allowed
hpmcounter11,Conditional,Conditional,Allowed
hpmcounter12,Conditional,Conditional,Allowed
hpmcounter13,Conditional,Conditional,Allowed
hpmcounter14,Conditional,Conditional,Allowed
hpmcounter15,Conditional,Conditional,Allowed
hpmcounter16,Conditional,Conditional,Allowed
hpmcounter17,Conditional,Conditional,Allowed
hpmcounter18,Conditional,Conditional,Allowed
hpmcounter19,Conditional,Conditional,Allowed
hpmcounter20,Conditional,Conditional,Allowed
hpmcounter21,Conditional,Conditional,Allowed
hpmcounter22,Conditional,Conditional,Allowed
hpmcounter23,Conditional,Conditional,Allowed
hpmcounter24,Conditional,Conditional,Allowed
hpmcounter25,Conditional,Conditional,Allowed
hpmcounter26,Conditional,Conditional,Allowed
hpmcounter27,Conditional,Conditional,Allowed
hpmcounter28,Conditional,Conditional,Allowed
hpmcounter29,Conditional,Conditional,Allowed
hpmcounter30,Conditional,Conditional,Allowed
hpmcounter31,Conditional,Conditional,Allowed
mhpmevent3,Not allowed,Not allowed,Allowed
mhpmevent4,Not allowed,Not allowed,Allowed
mhpmevent5,Not allowed,Not allowed,Allowed
mhpmevent6,Not allowed,Not allowed,Allowed
mhpmevent7,Not allowed,Not allowed,Allowed
mhpmevent8,Not allowed,Not allowed,Allowed
mhpmevent9,Not allowed,Not allowed,Allowed
mhpmevent10,Not allowed,Not allowed,Allowed
mhpmevent11,Not allowed,Not allowed,Allowed
mhpmevent12,Not allowed,Not allowed,Allowed
mhpmevent13,Not allowed,Not allowed,Allowed
mhpmevent14,Not allowed,Not allowed,Allowed
mhpmevent15,Not allowed,Not allowed,Allowed
mhpmevent16,Not allowed,Not allowed,Allowed
mhpmevent17,Not allowed,Not allowed,Allowed
mhpmevent18,Not allowed,Not allowed,Allowed
mhpmevent19,Not allowed,Not allowed,Allowed
mhpmevent20,Not allowed,Not allowed,Allowed
mhpmevent21,Not allowed,Not allowed,Allowed
mhpmevent22,Not allowed,Not allowed,Allowed
mhpmevent23,Not allowed,Not allowed,Allowed
mhpmevent24,Not allowed,Not allowed,Allowed
mhpmevent25,Not allowed,Not allowed,Allowed
mhpmevent26,Not allowed,Not allowed,Allowed
mhpmevent27,Not allowed,Not allowed,Allowed
mhpmevent28,Not allowed,Not allowed,Allowed
mhpmevent29,Not allowed,Not allowed,Allowed
mhpmevent30,Not allowed,Not allowed,Allowed
mhpmevent31,Not allowed,Not allowed,Allowed
mhpmcounter3,Not allowed,Not allowed,Allowed
mhpmcounter4,Not allowed,Not allowed,Allowed
mhpmcounter5,Not allowed,Not allowed,Allowed
mhpmcounter6,Not allowed,Not allowed,Allowed
mhpmcounter7,Not allowed,Not allowed,Allowed
mhpmcounter8,Not allowed,Not allowed,Allowed
mhpmcounter9,Not allowed,Not allowed,Allowed
mhpmcounter10,Not allowed,Not allowed,Allowed
mhpmcounter11,Not allowed,Not allowed,Allowed
mhpmcounter12,Not allowed,Not allowed,Allowed
mhpmcounter13,Not allowed,Not allowed,Allowed
mhpmcounter14,Not allowed,Not allowed,Allowed
mhpmcounter15,Not allowed,Not allowed,Allowed
mhpmcounter16,Not allowed,Not allowed,Allowed
mhpmcounter17,Not allowed,Not allowed,Allowed
mhpmcounter18,Not allowed,Not allowed,Allowed
mhpmcounter19,Not allowed,Not allowed,Allowed
mhpmcounter20,Not allowed,Not allowed,Allowed
mhpmcounter21,Not allowed,Not allowed,Allowed
mhpmcounter22,Not allowed,Not allowed,Allowed
mhpmcounter23,Not allowed,Not allowed,Allowed
mhpmcounter24,Not allowed,Not allowed,Allowed
mhpmcounter25,Not allowed,Not allowed,Allowed
mhpmcounter26,Not allowed,Not allowed,Allowed
mhpmcounter27,Not allowed,Not allowed,Allowed
mhpmcounter28,Not allowed,Not allowed,Allowed
mhpmcounter29,Not allowed,Not allowed,Allowed
mhpmcounter30,Not allowed,Not allowed,Allowed
mhpmcounter31,Not allowed,Not allowed,Allowed
pmpcfg0,Not allowed,Not allowed,Not allowed
pmpcfg1,Not allowed,Not allowed,Not allowed
pmpcfg2,Not allowed,Not allowed,Not allowed
pmpcfg3,Not allowed,Not allowed,Not allowed
pmpcfg4,Undetermined,Undetermined,Undetermined
pmpcfg5,Undetermined,Undetermined,Undetermined
pmpcfg6,Undetermined,Undetermined,Undetermined
pmpcfg7,Undetermined,Undetermined,Undetermined
pmpcfg8,Undetermined,Undetermined,Undetermined
pmpcfg9,Undetermined,Undetermined,Undetermined
pmpcfg10,Undetermined,Undetermined,Undetermined
pmpcfg11,Undetermined,Undetermined,Undetermined
pmpcfg12,Undetermined,Undetermined,Undetermined
pmpcfg13,Undetermined,Undetermined,Undetermined
