CSR,User,Supervisor,Machine
fflags,Conditional,Conditional,Conditional
frm,Conditional,Conditional,Conditional
fcsr,Conditional,Conditional,Conditional
hpmcounter3,Not allowed,Not allowed,Not allowed
hpmcounter4,Not allowed,Not allowed,Not allowed
hpmcounter5,Not allowed,Not allowed,Not allowed
hpmcounter6,Not allowed,Not allowed,Not allowed
hpmcounter7,Not allowed,Not allowed,Not allowed
hpmcounter8,Not allowed,Not allowed,Not allowed
hpmcounter9,Not allowed,Not allowed,Not allowed
hpmcounter10,Not allowed,Not allowed,Not allowed
hpmcounter11,Not allowed,Not allowed,Not allowed
hpmcounter12,Not allowed,Not allowed,Not allowed
hpmcounter13,Not allowed,Not allowed,Not allowed
hpmcounter14,Not allowed,Not allowed,Not allowed
hpmcounter15,Not allowed,Not allowed,Not allowed
hpmcounter16,Not allowed,Not allowed,Not allowed
hpmcounter17,Not allowed,Not allowed,Not allowed
hpmcounter18,Not allowed,Not allowed,Not allowed
hpmcounter19,Not allowed,Not allowed,Not allowed
hpmcounter20,Not allowed,Not allowed,Not allowed
hpmcounter21,Not allowed,Not allowed,Not allowed
hpmcounter22,Not allowed,Not allowed,Not allowed
hpmcounter23,Not allowed,Not allowed,Not allowed
hpmcounter24,Not allowed,Not allowed,Not allowed
hpmcounter25,Not allowed,Not allowed,Not allowed
hpmcounter26,Not allowed,Not allowed,Not allowed
hpmcounter27,Not allowed,Not allowed,Not allowed
hpmcounter28,Not allowed,Not allowed,Not allowed
hpmcounter29,Not allowed,Not allowed,Not allowed
hpmcounter30,Not allowed,Not allowed,Not allowed
hpmcounter31,Not allowed,Not allowed,Not allowed
mhpmevent3,Not allowed,Not allowed,Undetermined
mhpmevent4,Not allowed,Not allowed,Undetermined
mhpmevent5,Not allowed,Not allowed,Undetermined
mhpmevent6,Not allowed,Not allowed,Undetermined
mhpmevent7,Not allowed,Not allowed,Undetermined
mhpmevent8,Not allowed,Not allowed,Undetermined
mhpmevent9,Not allowed,Not allowed,Undetermined
mhpmevent10,Not allowed,Not allowed,Undetermined
mhpmevent11,Not allowed,Not allowed,Undetermined
mhpmevent12,Not allowed,Not allowed,Undetermined
mhpmevent13,Not allowed,Not allowed,Undetermined
mhpmevent14,Not allowed,Not allowed,Undetermined
mhpmevent15,Not allowed,Not allowed,Undetermined
mhpmevent16,Not allowed,Not allowed,Undetermined
mhpmevent17,Not allowed,Not allowed,Undetermined
mhpmevent18,Not allowed,Not allowed,Undetermined
mhpmevent19,Not allowed,Not allowed,Undetermined
mhpmevent20,Not allowed,Not allowed,Undetermined
mhpmevent21,Not allowed,Not allowed,Undetermined
mhpmevent22,Not allowed,Not allowed,Undetermined
mhpmevent23,Not allowed,Not allowed,Undetermined
mhpmevent24,Not allowed,Not allowed,Undetermined
mhpmevent25,Not allowed,Not allowed,Undetermined
mhpmevent26,Not allowed,Not allowed,Undetermined
mhpmevent27,Not allowed,Not allowed,Undetermined
mhpmevent28,Not allowed,Not allowed,Undetermined
mhpmevent29,Not allowed,Not allowed,Undetermined
mhpmevent30,Not allowed,Not allowed,Undetermined
mhpmevent31,Not allowed,Not allowed,Undetermined
mhpmcounter3,Not allowed,Not allowed,Undetermined
mhpmcounter4,Not allowed,Not allowed,Undetermined
mhpmcounter5,Not allowed,Not allowed,Undetermined
mhpmcounter6,Not allowed,Not allowed,Undetermined
mhpmcounter7,Not allowed,Not allowed,Undetermined
mhpmcounter8,Not allowed,Not allowed,Undetermined
mhpmcounter9,Not allowed,Not allowed,Undetermined
mhpmcounter10,Not allowed,Not allowed,Undetermined
mhpmcounter11,Not allowed,Not allowed,Undetermined
mhpmcounter12,Not allowed,Not allowed,Undetermined
mhpmcounter13,Not allowed,Not allowed,Undetermined
mhpmcounter14,Not allowed,Not allowed,Undetermined
mhpmcounter15,Not allowed,Not allowed,Undetermined
mhpmcounter16,Not allowed,Not allowed,Undetermined
mhpmcounter17,Not allowed,Not allowed,Undetermined
mhpmcounter18,Not allowed,Not allowed,Undetermined
mhpmcounter19,Not allowed,Not allowed,Undetermined
mhpmcounter20,Not allowed,Not allowed,Undetermined
mhpmcounter21,Not allowed,Not allowed,Undetermined
mhpmcounter22,Not allowed,Not allowed,Undetermined
mhpmcounter23,Not allowed,Not allowed,Undetermined
mhpmcounter24,Not allowed,Not allowed,Undetermined
mhpmcounter25,Not allowed,Not allowed,Undetermined
mhpmcounter26,Not allowed,Not allowed,Undetermined
mhpmcounter27,Not allowed,Not allowed,Undetermined
mhpmcounter28,Not allowed,Not allowed,Undetermined
mhpmcounter29,Not allowed,Not allowed,Undetermined
mhpmcounter30,Not allowed,Not allowed,Undetermined
mhpmcounter31,Not allowed,Not allowed,Undetermined
pmpcfg0,Not allowed,Not allowed,Not allowed
pmpcfg1,Not allowed,Not allowed,Not allowed
pmpcfg2,Not allowed,Not allowed,Not allowed
pmpcfg3,Not allowed,Not allowed,Not allowed
pmpcfg4,Undetermined,Undetermined,Undetermined
pmpcfg5,Undetermined,Undetermined,Undetermined
pmpcfg6,Undetermined,Undetermined,Undetermined
pmpcfg7,Undetermined,Undetermined,Undetermined
pmpcfg8,Undetermined,Undetermined,Undetermined
